,content_length,content_type,date_retrieved,eis_number,file_url_epa,file_url_s3,last_modified,title
17,19529929,application/pdf,2014-12-23 15:53:34.259362,20140363,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140363/%24file/US%2053%20Draft%20EIS_Chapter%205_Physical%20and%20Environmental%20Analysis.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140363/us-53-draft-eis_chapter-5_physical-and-environmental-analysis.pdf,"Tue, 23 Dec 2014 11:18:43 GMT",EIS Document: US 53 Draft EIS_Chapter 5_Physical and Environmental Analysis.pdf
18,142738,application/pdf,2014-12-23 15:53:34.309476,20140363,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140363/%24file/US%2053%20Draft%20EIS_Chapter%206_Indirect_Secondary%20Impacts.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140363/us-53-draft-eis_chapter-6_indirect_secondary-impacts.pdf,"Tue, 23 Dec 2014 11:18:43 GMT",EIS Document: US 53 Draft EIS_Chapter 6_Indirect_Secondary Impacts.pdf
19,150497,application/pdf,2014-12-23 15:53:34.358585,20140363,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140363/%24file/US%2053%20Draft%20EIS_Chapter%207_Cumulative%20Impacts.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140363/us-53-draft-eis_chapter-7_cumulative-impacts.pdf,"Tue, 23 Dec 2014 11:18:43 GMT",EIS Document: US 53 Draft EIS_Chapter 7_Cumulative Impacts.pdf
20,179523,application/pdf,2014-12-23 15:53:34.406061,20140363,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140363/%24file/US%2053%20Draft%20EIS_Chapter%208_Consultation%20and%20Coordination.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140363/us-53-draft-eis_chapter-8_consultation-and-coordination.pdf,"Tue, 23 Dec 2014 11:18:43 GMT",EIS Document: US 53 Draft EIS_Chapter 8_Consultation and Coordination.pdf
21,222175,application/pdf,2014-12-23 15:53:34.454999,20140363,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140363/%24file/US%2053%20Draft%20EIS_Chapter%209_Cost%20Analysis.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140363/us-53-draft-eis_chapter-9_cost-analysis.pdf,"Tue, 23 Dec 2014 11:18:37 GMT",EIS Document: US 53 Draft EIS_Chapter 9_Cost Analysis.pdf
22,449850,application/pdf,2014-12-23 15:53:34.503934,20140363,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140363/%24file/US%2053%20Draft%20EIS_Chapter%2010_Comparison%20of%20Alternatives.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140363/us-53-draft-eis_chapter-10_comparison-of-alternatives.pdf,"Tue, 23 Dec 2014 11:18:43 GMT",EIS Document: US 53 Draft EIS_Chapter 10_Comparison of Alternatives.pdf
23,1313733,application/pdf,2014-12-23 15:53:34.553081,20140363,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140363/%24file/US%2053%20Draft%20EIS_Appendix%20A_Easement%20Documents.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140363/us-53-draft-eis_appendix-a_easement-documents.pdf,"Tue, 23 Dec 2014 11:18:43 GMT",EIS Document: US 53 Draft EIS_Appendix A_Easement Documents.pdf
24,156567,application/pdf,2014-12-23 15:53:34.602796,20140363,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140363/%24file/US%2053%20Draft%20EIS_Appendix%20B_References.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140363/us-53-draft-eis_appendix-b_references.pdf,"Tue, 23 Dec 2014 11:18:43 GMT",EIS Document: US 53 Draft EIS_Appendix B_References.pdf
25,8265283,application/pdf,2014-12-23 15:53:34.651209,20140363,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140363/%24file/US%2053%20Draft%20EIS_Appendix%20C_Correspondence.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140363/us-53-draft-eis_appendix-c_correspondence.pdf,"Tue, 23 Dec 2014 11:18:43 GMT",EIS Document: US 53 Draft EIS_Appendix C_Correspondence.pdf
26,623216,application/pdf,2014-12-23 15:53:34.699301,20140363,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140363/%24file/US%2053%20Draft%20EIS_Appendix%20D_Taconite%20Production%20Tax.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140363/us-53-draft-eis_appendix-d_taconite-production-tax.pdf,"Tue, 23 Dec 2014 11:18:43 GMT",EIS Document: US 53 Draft EIS_Appendix D_Taconite Production Tax.pdf
